itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8018844,"SAP Content Stream by Skillsoft, premium edition?",1,User,1.95,USD,Month,200001,Infinite
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,23,USD,Month,1,2000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,17,USD,Month,2001,5000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,11,USD,Month,5001,10000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,8.77,USD,Month,10001,15000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,7.11,USD,Month,15001,25000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,5.65,USD,Month,25001,50000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,4.91,USD,Month,50001,75000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,4.7,USD,Month,75001,100000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,3.74,USD,Month,100001,200000
8018851,"SAP Content Stream by Skillsoft, base edition?",1,User,3.11,USD,Month,200001,Infinite
***,"Cloud - Finance & Governance, Risk and Compliance",,,,,,,
8004799,SAP Cloud for credit integration,1,Connection,"3,374.00",USD,Month,1,Infinite
8007077,"SAP Digital Payments, transaction package","20,040",Transaction,115,USD,Month,1,5
8007077,"SAP Digital Payments, transaction package","20,040",Transaction,93,USD,Month,6,25
8007077,"SAP Digital Payments, transaction package","20,040",Transaction,73,USD,Month,26,50
8007077,"SAP Digital Payments, transaction package","20,040",Transaction,63,USD,Month,51,250
8007077,"SAP Digital Payments, transaction package","20,040",Transaction,49,USD,Month,251,Infinite
8007689,"SAP Convergent Mediation by DigitalRoute, public cloud edition","2,77,17,500",Revenue and Expense,"4,435.00",USD,Month,1,10
8007689,"SAP Convergent Mediation by DigitalRoute, public cloud edition","2,77,17,500",Revenue and Expense,"3,326.00",USD,Month,11,20
8007689,"SAP Convergent Mediation by DigitalRoute, public cloud edition","2,77,17,500",Revenue and Expense,"2,993.00",USD,Month,21,40
